記事番号,タイトル,URL,サマリー
0,単身者多いマーケットに対応したヨークベニマル鹿沼千渡店の売場づくりを解説!,https://diamond-rm.net/store/220764/,"ヨークベニマル鹿沼千渡（せんど）店〒322-0002 栃木県鹿沼市千渡1842電話：0289-60-8555JR日光線「鹿沼」駅からクルマで約4分／東武日光線「新鹿沼」駅からクルマで約9分見どころ気温や販売計画に基づいて仕入れる「with mom」の総菜商品新規導入!
地元鹿沼市で肥育される「かぬま和牛」価格コンシャス層に対応するため、NB商品は価格を訴求ヨークベニマル（福島県／真船幸夫社長）は2022年6月17日、栃木県鹿沼市に「ヨークベニマル鹿沼千渡店」（以下、鹿沼千渡店）をオープンした。同社が運営するショッピングセンター（SC）の「ヨークタウン鹿沼千渡」の核店舗としての出店で、このほかクリーニング店と100円ショップの「ダイソー」がテナントに入る。鹿沼千渡店はJR日光線「鹿沼」駅からクルマで約4分の場所にある。同店から半径2㎞圏内には約2万8500人／約1万800世帯が居住する。なかでも1～2人世帯の割合が60.5％と単身者が多いマーケットとなっている。新興住宅地と古くからの住宅地が混在し、30～40代から60代以上まで幅広い年代層の住民が居住するエリアだ。競合店としては、店舗から半径2㎞圏内に「ヤオハン東町店」や「たいらや鹿沼店」「カスミ鹿沼店」などがある。一方、自社店舗としては鹿沼市内に「鹿沼店」や「鹿沼上殿町店」など3店舗を出店しており、ヨークベニマルは鹿沼千渡店の出店により、市内のドミナントをさらに深耕したいねらいだ。入口から青果売場とのダブルコンコースで展開する総菜売場では、"
1,第50回 アフターコロナに取り組むべき「課題解決型ショッピングセンター」とは何か,https://diamond-rm.net/management/219545/,西山貴仁（株式会社SC&パートナーズ 代表取締役）コロナ禍にあっても売上好調だったショッピングセンター（以下、SC）があった。その好調を維持した要因は他でもない、これまで商圏をどれだけ重要視してきたか、これに尽きる。一般的にマーケティング理論を学ぶ際、その主たるテーマが消費財にあることから、あまり商圏について学ぶ機会はなく、３km、５kmといった狭域な商圏設定について学ぶことはなおさら少ない。だが、SCは不動産であり簡単に移動できない装置産業である。したがって商圏がすべての鍵を握っている。前回はSCのシビックプライドを主張したが、今号ではSCの商圏との向き合い方を解説する。「何が売れるか」「どうやって売るか」より先に考えるべきこととはSC事業に携わる人との会話は、「前年比」からスタートすることが多い。「95％」と言えば前年比のこと。時々予算比の時もあるが、ほとんどの場合、昨年に対しての数値となる。ただ、最近はコロナ禍前の2019年と比べた比率がテーマになることも多い。この前年比は流通系の業種に限らず多くの企業のKPIとなる。理由は、分かりやすく、状況を把握しやすく、施策が功を奏したかどうか判断しやすいからだ。KGI（重要目標達成指標）を売上高に置く限り、前年比がKPIとして設定されるのは必然である。そのため、SC事業者は、日夜「何が売れるか」「どうやったら売れるか」を考えることになるが、ここに商圏との向き合い方を考えるポイントが隠れている。では、そのKGIである売上高達成に向けたKPIとは何か。一番分かりやすいのは、売上の構成要因である「客数×客単価」。この２つは数値化が可能であり、KPIに設定するものとしてふさわしい。それでは、この２つのKPIをマネジメントするために必要なものは何か。「何が売れるか」「どうやって売るか」、この２つになるのだろうか。確かに考え方としてこの２つであれば施策が打ちやすく、マスマーケティングを前提にMDと販促と接客のプッシュ型を繰り返せば、何らかの効果も出るし、担当者も「やった感」もあり、やりがいも感じやすい。しかし、この「何が売れるか」「どうやって売るか」より先に考えることがある
2,「ベルク ベスタ東鷲宮店」レポート！ 商品開発力と新たな売場演出に注目,https://diamond-rm.net/store/220151/,矢野清嗣その収益性の高さにより、お客だけでなく多くの業界関係者からも注目されるベルク（埼玉県／原島一誠社長）。本稿前編では2月26日にリニューアルした「ベルク ベスタ東鷲宮店」（埼玉県久喜市：以下、東鷲宮店）の生鮮３品の売場を解説した。後編では総菜、日配、加工食品などについてレポートしていきたい。調査日：4月10日、6月4日 ※本文中の価格はすべて本体価格売れ筋を確実に売る！店舗を正面から見て右手前側にあるのが、総菜売場だ。壁面にサラダ、焼鳥、フライ類、おにぎり、スイーツと並べ、コーナーを曲がって寿司、インストアベーカリーにつなげる、ベルクではおなじみの売場配置だ。筆者はこれまで多くのベルクの店舗を訪れているが、ほぼ全店がこの配置となっており、フォーマットの標準化が徹底されていることがよくわかる。商品は店内加工と、自社グループの「総菜センター」の商品、外注商品が混在している。陳列は量感を重視しているようでどのお客も買い慣れた様子で商品をカゴに入れている。この商品構成こそ、ベルク独自のノウハウなのだと思われる。調査日は、「お弁当で、自宅が旅先。」と書かれた販促物を掲げ、新商品「沖縄ベルク流タコライス」を数量限定で販売していた。「たっぷり12貫 盛り寿司楽」（698円）、「やわらかロースとんかつ」（1枚248円）、「香り極立つにんにく醤油唐揚げ」（100g178円）といった具合に定番重視の商品ラインナップとなっており、「売れ筋を確実に売る」という姿勢が貫かれている。豊富なラインナップのPB続いて日配売場にフォーカスしてみたい。和日配は、総菜との関連で売場を展開しており、手前側に豆腐や揚げ、漬物、店舗後方のパン売場との関連で麺や納豆を配置する。どのコーナーも、冷蔵ケース最下段にプライベートブランド「くらしにベルク kurabelc（以下、クラベルク）」商品を並べているのが目を引く。たとえば、豆腐では「絹豆腐」（300g 45円）、「やわらか造り油揚げ」（5枚入り84円）、納豆では「小粒納豆」（45g×3パック65円）、麺は「ゆでうどん」（１食28円）、そのほか新商品として「主役になる肉焼売」「主役になる海老焼売」（各278円）なども売場内で大きくアピールする。このように売れ筋を固めることができるPBの商品開発力もベルクの強さといえる。加工食品も、NB（ナショナルブランド）の売れ筋にPB絡めた商品構成で、一部こだわり商品の扱いはあるものの、それほど目立たない。「よく売れる商品」が品揃えのベースとなっている。店内手前側で展開する酒類もオーソドックスな品揃えで、ビール系飲料と缶チューハイに力を入れているようで、ケース売りや6缶セットの積極的に展開している。
3,イオン閉店で“一人勝ち”状態に！？ 新装「ベルク ベスタ東鷲宮店」の売場を解説,https://diamond-rm.net/store/220041/,矢野清嗣首都圏でベルク（埼玉県／原島一誠社長）の存在感が大きくなっている。埼玉県を地盤とするベルクは現在、126店舗(22年5月末時点）を展開しており、うち埼玉県には78店を展開する。同じく埼玉県を地盤とするヤオコー（埼玉県／川野澄人社長）も埼玉県に96店舗を展開しており、県内各所で火花を散らしている。競争激しい商勢圏で、なぜベルクの店は消費者に選ばれているのか。ベルクの最新の売場づくりを確認するため、2月26日に改装オープンした「ベルク ベスタ東鷲宮店」（埼玉県久喜市：以下、東鷲宮店）を訪ねた。調査日：4月10日、6月4日 ※本文中の価格はすべて本体価格NSCの核店舗をリニューアルベルクが2月26日にリニューアルオープンした東鷲宮店は、JR「東鷲宮」駅から直線距離で約820mの場所にある。埼玉県東部に位置する久喜市の人口は約15万人、首都圏で働くビジネスパーソンのベッドタウンとして発展してきた歴史を持つ。「東鷲宮」駅の隣駅である「久喜」駅は、JR宇都宮線と東武鉄道伊勢崎線が乗り入れる、県東部における交通の要所となっている。東鷲宮店は、近隣型ショッピングセンター「ベスタ東鷲宮」の核となる店舗で、同店のほか、「ホーマック」「しまむら」「ドラックストアセキI」などが入る「東鷲宮」駅周辺に目を向けると、同駅南口からすぐに場所で約36年間営業を続けてきた「イオン東鷲宮店」が2022年4月に閉店している。6月現在、その跡地には新テナント入居の形跡はなく、現在の同駅周辺のマーケットは東鷲宮店の“一人勝ち”状態であるといえそうだ。“同じ配置なのに店舗ごとに異なる雰囲気”売場を見ていこう。ベルクの売場配置は、店舗規模に応じて多少違いはあるものの、基本的にほぼ全店で統一されている。メーン入口から青果、精肉、鮮魚と生鮮ラインが並び、乳製品と日配を挟んで総菜とインストアベーカリーにつなぐ。売場中央では冷凍食品とアイスクリームを大きく展開、中央奥側にはチルド飲料、ヨーグルト、手前側には酒類、即席麺を配置する。ベルクの店舗を訪ねたことがある人であれば、誰もが簡単に売場を思い浮かべることができるだろう。売場スペースの構成比では、総菜を含む生鮮4品が29％、日配が24％と、両部門で53％を占める。ほかは加工食品が24％、酒類が8％、菓子が7％、日用品が8％と、堅実な構成となっている。売場配置、商品構成が統一されているというと、通常は、売場は似通うことが多い。だがベルクの場合、売場配置はほぼ同一であるにもかかわらず、店内に漂う雰囲気は店舗ごとに異なる。現場では、ベルクが基本政策である「地域密着」が徹底されており、競合店との違いが明確に打ち出されている。競合店との差別化策を現場から探し求める姿勢のあらわれであり、本部指導型ではなくあくまで現場主導型の販促を重視していることが窺える。
4,小売・物流業界 ニュースサイト【ダイヤモンド・チェーンストアオンライン】,https://diamond-rm.net/management/219162/,棚橋 慶次オーケー（神奈川県／二宮涼太郎社長）が発表した2022年3月期決算は、売上高が5250億円(対前期比3.2％増）、営業利益が300億円（同1.2％減）、経常利益が311億円（同0.7％減）、税引後純利益が222億円（同3.2％増）だった。既存店売上はプラス成長！2020年3月期、21年3月期と2期連続で2ケタの売上増を続けてきたオーケーだが、22年3期の売上高伸び率は1ケタにとどまった。新店出店はここ数年と同様6店舗を出店した一方で、21年3月期の巣ごもり需要による売上急増の反動を受けて、既存店売上高前期比が100.2％となったのが主要因だ。オーケーの21年3月期の既存店売上高は対前期比12.5%増だったので、この高いバーをさらに超えたという点でオーケーの強さがわかる。営業利益および経常利益は微減となったが、これは販管費の伸び（5.5%増）が、売上総利益の伸び（3.7%増）を上回ったためだ。なお販管費のうち減価償却費も同4.8％増となっており、積極的な投資が行われていることも見て取れる。売上高経常利益率は5.94％と、前年度より0.23ポイント低下しているものの、高水準を維持していると言っていい。なお22年3月期は10億円の特別利益を計上しているが、これは主に上場企業株式売却益（9億5000万円）で、旧関西スーパーマーケット(以下、関西スーパー)株式の売却益と考えてよさそうだ。
5,関西新店の新MDは関東で受け入れられるか！？ 「ロピアおおたかの森コトエ店」売場レポート,https://diamond-rm.net/store/219668/,矢野清嗣ロピア（神奈川県／高木勇輔代表）は4月21日、千葉県流山市のニュータウンの一角に、「ロピアおおたかの森コトエ店（以下、おおたかの森店）」をオープンした。首都圏では10カ月ぶりの新店となる同店ではどのような売場づくりをしているのか。前編では、同店の青果・鮮魚・精肉部門をレポートした。後編では、総菜、日配、加工食品などの売場を見ていこう。調査日＝4月27日、5月17日 ※本文中の価格はすべて本体価格道場六三郎氏の監修商品が登場！総菜は精肉と連動させるかたちで売場を展開する。店舗奥側壁面12尺のスペースに冷蔵ケースを配置し、「ミルクゼリー」「ショコラケーキ」「シュークリーム」などのデザートのほか、隣の6尺では「お母さんのポテトサラダ」など冷総菜も扱う。全体的に、グループ会社の利恵産業が製造する商品が目立つ。横18尺縦6尺の平台では、弁当やフライ類、焼鳥、ピザなどを陳列している。弁当では店内製造「絶品ハンバーグと照り焼き弁当」(799円)、「三元豚極みロース重」(399円)のほか、「道場六三郎監修 厚切り牛たん炙り焼き弁当」(1000円)なども販売する。ちなみにロピアは2021年12月に道場六三郎事務所を子会社化し、グループに迎え入れている。おおたかの森店で登場した、この「道場六三郎監修 厚切り牛たん炙り焼き弁当」は、その名のとおり、かつて有名テレビ番組に多く出演した料理人・道場六三郎氏とのコラボ商品となる。肉総菜を得意とするロピアの総菜売場だが、今後は同氏監修メニューが増えていくことになるのかもしれない。そのほか総菜売場の一角には、中原商事が運営する中華総菜コーナー「上海厨房」もある。弁当や総菜など扱い品目が多く、価格も値ごろ感があり、品揃えをうまく補完している。冷凍食品・アイスクリームはロングセールを実施日配売場は、正面壁面36尺で乳製品、隣の32尺で漬物・佃煮・豆、さらに隣の冷蔵リーチイン8尺で牛乳を販売。右壁面96尺はヨーグルトやスイーツ、チルド飲料を配置する。平場では、麺、豆腐、納豆を配置し、その背面にアイスクリームと冷凍食品を展開。アイスクリームは20尺と品揃えを絞っているようだ。調査期間中は、8月31日まで冷凍食品の6割引、6月30日までアイスクリームの半額セールと、長期販促を実施していた。競合店は対策に苦慮することだろう。ゴンドラゾーンは加工食品の売場を展開する。全体に品揃えを絞り込んでおり、調味料ではグループ会社の丸越醸造の商品が以前よりも存在感が増しているのを感じた。そのほか特徴的だったのはここ最近の新店で導入している韓国食材をコーナー化していた点だ。18尺のスペースで即席麺と調味料」をメインに、約170ＳKUを扱う。
6,首都圏では10カ月ぶりの出店！ 「ロピアおおたかの森コトエ店」の売場を解説,https://diamond-rm.net/store/219200/,矢野清嗣ロピア（神奈川県／高木勇輔代表）は4月21日、千葉県流山市に「ロピアおおたかの森コトエ店（以下、おおたかの森店）」をオープンした。首都圏では、2021年7月のオープンの「ロピア権太坂店」（神奈川県横浜市）以来、約10カ月ぶりの新店となる同店ではどのような売場づくりをしているのか。現地に足を運んだ。調査日＝4月27日、5月17日 ※本文中の価格はすべて本体価格ニュータウンの駅チカ商業施設内に出店ロピアが4月21日にオープンしたおおたかの森店は、首都圏新都市鉄道（つくばエクスプレス）と東武鉄道野田線が乗り入れる「流山おおたかの森」駅から徒歩4分の場所にある。大和ハウス工業が手掛ける商業施設「COTOE流山おおたかの森」の核テナントとなる店舗で、同施設改行の1週間前に先行オープンした。同施設にはロピアのほか、「コジマ×ビッグカメラ」「マツモトキヨシ」「西松屋」などが入る。ちなみに流山市には、「ロピアアクロスプラザ流山」に続く2店舗目の出店となる。「流山おおたかの森」駅周辺は、05年8月につくばエクスプレスが開通し、都心まで30分というアクセスの良さから新たなベットタウンとして急速に発展している。流山市の人口現在約20万人で、人口増加ペースは全国トップレベルを誇る。その中でもとくに多いとされるのが30代の子育て世代で、「流山おおたかの森」駅周辺には、比較的築年数が浅い若いファミリー向けのマンションが建ち並ぶ。豊かな商圏とあって競合も多く、「流山おおたかの森」駅を中心に、「イトーヨーカドー」「ヤオコー」「カスミ」「ベルク」「ベイシア」「マルエツ」「東武ストア」など、狭い範囲に有力チェーンの店舗がひしめく、食品小売の激戦区となっている。商業施設内1階部分に入るおおたかの森店。売場面積はロピアのほぼ標準となる約500坪（歩測）で、店舗正面から見て左サイドに生鮮、右サイドに和洋日配を配置する。「生鮮＋日配」の売場スペース構成比は約61%と、ほかの店舗と比較すると高い。反面、それ以外の加工食品や菓子、冷凍食品などはやや絞っているようだ。鮮度重視の青果売場部門ごとに売場を見ていこう。青果売場はワンウエイ方式で、冷蔵ケースは入口付近と作業場前、そのほか平台の一部の合計22尺と少なく、ほとんどが常温での展開となる。そのためか、売場は売れ行きに合わせた補充体制であると思われ、陳列は量感というよりも鮮度を重視しているようだ。売場はすっきりとして買いやすく、調査日は、チラシ掲載のキュウリ4本、レタス１玉を目玉商品として99円の特価で販売。ほかにも、ブロッコリーや小松菜、ほうれん草といった売れ筋野菜を99円で提供しており、売場にいると「安い」と会話するお客の声が聞こえてくる。競合店にとっては、この価格設定は間違いなく脅威であることだろう。
7,スイーツ専門店の味めざし、この夏セブン-イレブンが刷新した「３つの素材」とは _小売・物流業界 ニュースサイト【ダイヤモンド・チェーンストアオンライン】,https://diamond-rm.net/sales-promotion/220500/,セブン-イレブン・ジャパン（東京都／永松文彦社長：以下、セブン-イレブン）は、和菓子・洋菓子商品の全面刷新を実施した。リニューアルした商品は、6月13日より店頭に並ぶ。今回の新商品の目玉は、徹底して商品の「素材」にこだわった点だ。「街のスイーツ屋さん」をコンセプトに掲げるセブン-イレブンのスイーツ部門のねらいとは。コロナ禍で消費者が「おいしい」スイーツを求めるようにセブン-イレブンが今回、和菓子・洋菓子商品を全面刷新する背景には、コロナ禍でお客が同店で買物をする際の「スイーツ離れ」が顕在化したことが挙げられる。「おうち時間の充実」を求める消費者は、洋菓子店などのスイーツ専門店で買物をしたり、ECで商品をしたりと、「おいしいスイーツ」を求めている。事実、ミニマルが発表した2020年総括および2021年展望レポート」によると、25歳～49歳の女性111人のうち、コロナ禍で「スイーツを食べる頻度が増えた」と答えた人は約54.1%で、「スイーツを取り寄せた」という回答には約40.7％が「はい」と回答したという。そうした中、セブン-イレブンのチルド洋・和菓子の販売金額の合算は20年４月～21年4月までは前年比100％超えと順調に推移していたが、21年4月以降は、100％を切る月も目立っていた。同社商品本部デイリー部シニアマーチャンダイザーの平田哲也氏は、その原因について「高まるスイーツ需要に対して、当社の商品でお客さまを受け止め切れていなかった」と分析する。コロナ禍で顕著に高まった「スイーツ需要」と、近くのコンビニで特定の商品を購入する「目的買い」という消費者の行動に対応するためにも、セブン-イレブンは「街のスイーツ屋さん」をコンセプトに商品の全面刷新を行ったのだ。アップグレードさせた「３つ」の素材とは主にアップグレードするのは、商品の「素材」である。具体的には、①乳脂肪分をアップさせた「ホィップクリーム」の使用、②セブン-イレブン専用にブレンドした「薄力粉」の使用、③北海道十勝産小豆の品種の一つで、専門店も使う「エリモショウズ」の使用、の３つだ。平田氏は、「素材」を見直した理由について「お客さまは、“専門店に近い味”をコンビニスイーツに求めていることが、調査の結果明らかになった。リピーターを獲得する上でも、上質な素材を使うことが求められているのではないかと考えたから」と話す。セブン-イレブンは、全国にチルド洋菓子の専用工場を24か所所有している。ホイップクリームは製造する直前に泡立てるなど、素材の製造方法が独自に確立されているのだ。
8,アメリカの人気ヨガアパレルブランド「Alo Yoga」が繰り出す、巧みなデジマ戦略とは？,https://diamond-rm.net/ec-epayment/220204/,筆者は今年1月の「NRF Retail’s Big Show 2022」でニューヨーク、3月の「Shoptalk2022」でロサンゼルスを訪れ、同地の店舗を多く視察した。パンデミックの終わりが見え、マスクをする人が少なくなった街ではコロナ禍で淘汰された多くの店舗と入れ替わるかたちで、「リアル強化」を打ち出す新たな顔ぶれが目立っていた。今回は、なかでも顕著に店舗数を増やしている、ヨガ／アスレジャーブランド「Alo Yoga（アロヨガ）」の戦略についてご紹介したい。オンラインでつながったファンと「リアルでつながる」ための拠点を拡大Alo Yogaは2007年にヨガアパレルブランドとして創業し、17年にオンラインフィットネス動画を制作するメディア企業Codyを買収、オンラインヨガレッスンの「Alo Moves」を展開している。共同CEOのダニー・ハリスとマルコ・デジョージによって所有される企業であり売上高は公表されていないのだが、そのほとんどがオンライン販売及びAlo Movesのサブスクリプションによってもたらされているとみられる。実際、ハリスCEOはあるインタビューで、コロナ禍で７つの「サンクチュアリ」と呼ばれるスタジオ兼店舗を一時閉鎖したもののそのダメージはほとんどないと答えており、収益の柱がオンライン事業であることが示唆されている。しかし、このサンクチュアリの出店は拡大傾向にあり、22年5月時点で13カ所となっている。これまで出店していた、ロサンゼルスやニューヨークだけでなく、マイアミやオースティンなど新たなエリアにも進出しているのである。その出店計画はシンプルだ。オンライン販売やAlo Movesを通じてどの地域にどれくらいの熱心なファンがいるかを把握したうえで、そこに「サンクチュアリ」を置くことで、”リアルな体験の場”を提供しているのだ。言い換えれば、オンラインで強固なつながりを持ったファンとの関係性をさらに深めるため、いわば”Aloの文化”を共有する場所としてサンクチュアリを位置づけているのである。企業名にあるAloはAir、Land、Oceanの頭文字からとっており、自然環境へのコミットメントとして、エシカルなアパレル製造体制を敷いているのが特徴だ。この考えに共感した多くのヨガインストラクターがスタジオやオンラインでヨガレッスンを行い、インスタグラムなどのSNSでも頻繁に情報発信を行っていることで、Alo Yogaのファンをどんどん増やしているのだ。デジマ戦略の2つの軸Alo Yogaとしてもデジタルをマーケティング戦略の中心に置いているのだが、その軸となっているのは大きく2つ、「PRO PROGRAM」と「STUDIO-TO-STREET」である。このうちPRO PROGRAMは、ヨガインストラクターを対象としたプログラムである。これに参加すると、常時25％オフでAlo Yogaの商品を購入することができる。そして参加するインストラクターを介して、SNS上でAlo Yogaのプログラムやアパレルについての口コミや情報が発信されていくのだ。ヨガというものは、さまざまなインストラクターが構築する「コミュニティ」で成立している。企業がそこにリーチするためにはインストラクターを取り込む必要があり、PRO PROGRAMを通じてインストラクターとの”つながり”を持つ、というのがAlo Yogaのねらいだ。もう一方のSTUDIO-TO-STREETは、絶大な影響力を持つインフルエンサーを活用したブランド戦略である。Alo Yogaの理念を支持するケンダル・ジェンナー、ジジ・ハディッド、テイラー・スウィフトといった著名人がAlo Yogaのレギンスをアスレジャーウェア（スポーツウェアを取り入れたファッション）として着用しているシーンを、公式サイトやSNSなどで拡散している。ヨガを単なるエクササイズではなく、ファッションやライフスタイルの1つとして訴求するこの戦略が奏功し、ブランドはNYFW(ニューヨーク・ファッション・ウィーク)の公式パートナーとなるなど、影響力を大きくしている。さらにはグローバル展開も進めており、22年にカナダのトロントに初めての国外店舗を出店、さらに、12カ国で1800以上の小売店を展開するUAE（アラブ首長国連邦）のAl hokairグループとも提携し、フランチャイズ展開による海外市場の開拓も行っていく計画だ。
9,バイヤー必見！今行くべき専門店 日本人に馴染み深い!?イタリアンスイーツで注目の３店,https://diamond-rm.net/management/220415/,「ホットペッパーグルメ外食総研」上席研究員 有木 真理イタリアンスイーツに注目が集まっている。イタリアンスイーツといえば、皆さんは何を思い浮かべるだろうか。ティラミス、ジェラートなど耳慣れた商品も多いはずだ。なぜ、いまイタリアンスイーツに注目が集まっているのか。イタリアンは、スイーツに限らず、パスタやピッツァなど日本でなじみの多いメニューが多数存在する。過去には「イタ飯」という言葉が一世を風靡したほどだ。このように非常になじみの深いジャンルであるため、次々とヒット商品が生まれやすい傾向にある。それに加え、前回のカレーパンの記事でも記述した「0.7食」ブームの影響も否めない。これはコロナ感染拡大により人々のライフスタイルが変化し、リモートワークなどで日常の活動量が減ったことで、3食のうちの1食を「おやつ以上食事未満の“0.7”食程度」にする人が増えたというものだ。実はイタリアでは、「スプンティーノ」という、少ししっかりめのスイーツとお茶を楽しむ食文化があり、昨今は0.7食の影響を受けてか、そのしっかりめのスイーツを中心に、イタリアンスイーツに関心が高まっている。そこで今回は、注目のイタリアンスイーツで、消費者のニーズを満たすヒントとなりそうなお店や、メニューを紹介しよう。① マリトッツォ・ブームの立役者「イータリー」こちらはいわずと知れた、イタリア食材を扱うグロサリーとレストランが一体となった人気店だ。「買って、食べて、学ぶ」をコンセプトに、イタリアの食材を様々な角度で提案し、イタリアの食の文化や歴史に触れることができる。そのラインナップはイタリア本国のトラディショナルなものから、今日本でトレンドになっているものまで幅広く、スイーツも常に最新のトレンドを抑えている。昨今のスイーツトレンドを語る上で欠かせない「マリトッツォ」も早くから商品化し、同メニューを日本でメジャーなスイーツにした“立役者”の1店といっても過言ではない。同店のマリトッツォは、コロンとした見た目のかわいさが特徴だが、食べごたえは十分で、1食を0.7食に置き換えるとしたら最適だ。マリトッツォはイチゴやピスタチオ、ティラミス味など定番のものに加え、季節のフルーツでアレンジしたり、ドラトッツォ（どら焼きでアレンジ）、ニクトッツォ（ハンバーガーのように肉を挟んで）など、さまざまな派生商品が登場したことでよりブームが加速した。今後、さらなる「〇〇トッツォ」の登場にも期待したい。店舗名 ： 「イータリー銀座店」所在地 ： 東京都中央区銀座6-10-1 GINZA SIX 6F営業時間： 11：00～23:00(カフェ・マーケットは10:30～22:30)定休日 ：不定休
